Age,GPA,Attendance_Rate,Study_Hours_Per_Week,Homework_Submission_Rate,Distance_From_School,Family_Size,Disciplinary_Actions,Teacher_Evaluation_Score,Parent_Teacher_Meetings_Attended,Extracurricular_Participation,,Gender,Health_Status,School_Transportation,Part_Time_Job,Special_Education_Support,Online_Learning_Participation,School_Facilities_Access,Parent_Education,Family_Income,Parent_Occupation,Student_ID,Dropout_Risk
16,2.602681386,77.08034644,11.92904457,58.04342546,1.270426719,5,1,5.885125431,2,2,,F,Good,No,No,No,High,Full,Master,Middle,Government,2324,0
17,3.408277538,80,11.88876023,76.73670751,1.934385331,3,0,7.002751284,4,2,,M,Good,No,No,No,Medium,Full,Bachelor,Middle,Government,3687,0
16,3.809751095,92.71272881,11.31410722,75,0.878466497,3,0,7.87553096,5,0,,M,Good,Yes,No,No,Low,Full,Bachelor,High,Private,2975,0
17,3.570583354,80,19.9147958,78.67535643,0.5,3,1,7.341028591,2,2,,F,Good,Yes,No,No,High,Limited,Secondary,Middle,Self-employed,2993,0
16,2.402338341,30.67832043,1.96557271,50.34918849,5.485559788,5,0,4.765726587,1,2,,F,Fair,No,No,No,High,Minimal,Secondary,Low,Self-employed,469,1
16,2.418484895,60,11.16583518,64.83869019,1.630737216,3,2,8.143233887,4,0,,F,Fair,Yes,No,Yes,Low,Full,Bachelor,Middle,Government,2641,0
15,2.985168312,66.84723466,6.54555274,54.44402005,4.631178302,3,0,6.195965712,4,0,,F,Good,Yes,Yes,No,High,Limited,Secondary,Middle,Private,1910,0
17,3.045413903,31.71520224,4.554773398,38.28079351,5.463025783,5,6,3.610399948,0,0,,M,Poor,No,No,No,Low,Minimal,Primary,High,Self-employed,152,1
17,4.025270295,80,15.87331547,75,0.5,3,0,8.149984202,4,1,,F,Good,Yes,No,No,Medium,Minimal,Bachelor,Middle,Self-employed,3896,0
17,3.905838503,84.65089158,13.76474928,82.4422761,2.533095722,2,0,8.265873564,2,1,,F,Poor,No,No,No,High,Full,Master,Middle,Government,3649,0
19,2.89371806,30,-0.029660161,20,4.482451871,6,4,5.000873511,2,0,,F,Fair,Yes,Yes,No,Medium,Minimal,Bachelor,High,Private,417,1
17,3.348845384,60,11.37900212,90,1,5,1,5.828319937,2,0,,M,Good,Yes,No,No,Low,Full,Bachelor,Middle,Private,2304,0
15,3.607728527,84.88351077,12.1852991,88.80786208,5.211283642,3,0,8.692573123,2,1,,M,Good,Yes,No,No,High,Minimal,Secondary,Middle,Private,3571,0
17,2.537633698,62.7225325,8.748374075,50,1.981033164,1,1,7.203383787,6,2,,M,Good,Yes,No,No,Low,Limited,Secondary,Middle,Self-employed,1452,0
18,2.849330513,60.96938884,9.118871065,80.47077198,3.493195277,4,1,5.905657842,1,2,,M,Good,Yes,No,No,High,Limited,Bachelor,High,Self-employed,1483,0
16,3.310386546,80,14.10133676,81.86459553,3.191565582,4,0,9.071414749,4,1,,M,Good,Yes,Yes,No,High,Full,Primary,High,Private,3742,0
18,1.553261082,64.93805591,4.31795479,20,3.306661563,8,1,2.343545333,2,0,,M,Good,No,No,No,Medium,Limited,Primary,Middle,Unemployed,681,1
16,3.215578513,89.66892343,15.35930686,94.85084208,2.623377998,5,0,9.306148909,2,3,,M,Good,Yes,No,Yes,High,Full,Master,High,Government,4050,0
16,3.687998743,80,17.88084196,86.53790222,3.278676737,3,0,9.584166342,3,3,,M,Poor,Yes,No,No,Medium,Full,Secondary,High,Private,2733,0
16,2.471069343,79.4673277,10.01250816,86.40578187,7.023185315,4,3,7.300774577,0,1,,F,Good,Yes,No,Yes,High,Minimal,Secondary,Middle,Private,1865,0
18,3.137441499,90.51043863,9.235886173,50,3.673553355,1,1,7.897076724,4,0,,M,Good,No,No,No,High,Full,Bachelor,Middle,Self-employed,2469,0
19,2.916732034,76.32976466,7.310035001,50,2.11077528,4,2,7.111273855,4,0,,M,Good,Yes,No,No,Low,Full,Bachelor,Middle,Self-employed,1974,0
18,3.391157768,80,18.0078092,93.51374674,4.273367743,2,0,8.261490965,4,3,,F,Good,Yes,No,No,High,Full,Secondary,Middle,Self-employed,3300,0
15,3.403373754,94.74716048,17.82050765,75,1.991517733,5,1,9.413167017,3,3,,F,Poor,Yes,No,No,Medium,Full,Secondary,High,Government,3714,0
16,3.877178326,85.65911338,8.524696533,92.38474724,0.5,2,0,8.760455831,5,5,,F,Good,No,No,No,Low,Full,Master,Low,Private,4088,0
17,3.185104121,60.25281583,6.217350414,50,2.594014087,3,1,6.634624157,2,3,,F,Good,Yes,Yes,No,High,Full,Secondary,High,Self-employed,1129,0
16,2.723075576,60,5.280967721,84.73345016,3.128788459,3,1,6.664736187,3,1,,M,Good,Yes,Yes,Yes,Medium,Full,Secondary,High,Self-employed,1607,0
17,2.409594929,82.21764759,5.766247175,50,14.52811914,2,0,8.384284078,3,0,,F,Poor,Yes,No,Yes,Medium,Full,Bachelor,Middle,Private,1439,0
15,3.619145998,98.75802531,13.93743532,75,10.28513304,1,0,7.842440867,2,0,,M,Good,Yes,Yes,No,High,Full,Secondary,Low,Private,3488,0
17,2.140188186,30,3.450458278,39.09666542,6.427013831,6,3,3.225481779,2,0,,F,Fair,Yes,Yes,No,Low,Full,Secondary,Low,Private,897,1
17,3.255823177,83.70129,15.25733197,80.99104505,0.5,1,0,8.690896308,3,5,,F,Good,Yes,Yes,No,Medium,Minimal,Master,Middle,Private,4021,0
17,3.907271857,80,18.02262765,85.53765863,0.785062205,3,0,7.45873617,0,1,,F,Good,Yes,No,No,High,Full,Secondary,Middle,Private,3170,0
